,nome/razao social,contato,localidade,site
189,Grupo Milano - Engenharia Civil e Paisagismo,(11) 3744-5399,São Paulo - SP,https://www.grupomilano.com.br/
190,Novatec Engenharia Indústria e Comerci,(11) 4152-4949,Santana de Parnaíba - SP,Não tem
191,Ufficcio Arquitetura Engenharia Construção Civil e Comerci,(11) 97558-0950,São Paulo - SP,http://www.ufficcio.com.br/
192,Engenharia FW - Engenheiro Civil em São Paulo Filial,(11) 93711-9985,São Paulo - SP,https://engenhariafw.com.br/
193,Apoio Perícias em Engenharia Civil,(11) 3052-2016,São Paulo - SP,Não tem
194,Antonio Viva Neto Engenharia Civil,(11) 5667-5793,São Paulo - SP,http://vivaengenhariasp.com.br/
195,Práthiko - Engenheiro Civil,(11) 99660-7541,São Paulo - SP,http://www.prathikoengenheiro.com.br/
196,Eucalipto Serv. Técnicos na Construção Civil Ltda,(11) 2215-3064,São Paulo - SP,Não tem
197,Melo Mão Obra Construção Civil,(11) 3685-2557,Osasco - SP,Não tem
198,CAGG Engenharia,(11) 2371-6722,São Paulo - SP,http://www.caggengenharia.com.br/
199,R2 Engenharia,(11) 2538-9744,São Paulo - SP,http://r2-engenharia.com/
200,PCC - Engenharia de Construção Civil,Fechado temporariamente,São Paulo - SP,http://www.pcc.usp.br/
201,Incon Construção Civil,(11) 98560-7737,São Paulo - SP,https://inconconstrucaocivil.negocio.site/?utm_source=gmb&utm_medium=referral
202,HL Engenharia,(11) 3903-0801,São Paulo - SP,Não tem
203,Engefel Engenharia Civil e Ferroviária,(11) 4781-5027,Embu das Artes - SP,Não tem
204,Engenheiro Civil Rafael Almeida,(11) 98603-9058,São Paulo - SP,https://construcaoereformaszonasul.negocio.site/?utm_source=gmb&utm_medium=referral
205,Magnum Construção Civil,(11) 3078-8001,São Paulo - SP,http://www.magnumeng.com.br/
206,F.J DA SILVA ENGENHARIA CIVIL E SEGURANÇA DO TRABALHO EIRELLI-ME,(11) 98443-8442,São Paulo - SP,http://www.formalit.com.br/
